Villa,Location,Bedrooms,Bathrooms,Property_type,Price_text,Raw_price_number,Period_days,Price_per_day_usd,Price_per_day_idr,Url,Agency
Breathtaking Hillside Private Cabin in Lembongan,,1,1,"Guest House, Ocean view",Starting from USD 30 per night,30.0,1,30.0,"497,220",https://www.bukitvista.com/property/breathtaking-hillside-private-cabin-in-lembongan,Bukit Vista
Private Ungasan Hideaway Villa with Pool Oasis,,1,1,Villa,Starting from USD 165 per night,165.0,1,165.0,"2,734,710",https://www.bukitvista.com/property/private-ungasan-hideaway-villa-with-pool-oasis,Konang
Sunny Tropical Luxe Villa in Ungasan with Pool,,2,2,Villa,Starting from USD 172 per night,172.0,1,172.0,"2,850,728",https://www.bukitvista.com/property/sunny-tropical-luxe-villa-in-ungasan-with-pool,Konang
Dreamy Haven w/ Pool | 300m from Bingin Beach,Villa Kaba by Bukit Vista,2,2,Villa,Starting from USD 430 per 2 nights,430.0,2,215.0,"3,563,410",https://www.bukitvista.com/property/dreamy-haven-w-pool-300m-from-bingin-beach,Konang
Ungasan Haven: 3BR Villa w/ Private Pool Retreat,Amerta Puratangi Villa by Bukit Vista,3,3,Villa,"Starting from USD 2,400 per month",2400.0,2,1200.0,"19,888,800",https://www.bukitvista.com/property/ungasan-haven-3br-villa-w-private-pool-retreat,Konang
Unwind in Tabanan Remote Jungle with Infinity Pool,,2,2,"Amazing View, Jungle View, Residential, Tropical, View, Villa",Start from $72 USD per night,72.0,1,72.0,"1,193,328",https://www.bukitvista.com/property/unwind-in-tabanan-remote-jungle-with-infinity-pool,Bukit Vista
Villa by Rice Fields in Canggu,"Pura Wates Canggu No.39, Canggu, Kec. Kuta Utara, Kabupaten Badung, Bali 80351",2,2,"Rice paddy view, Villa","Start from $2,200 USD per Month",2200.0,1,2200.0,"36,462,800",https://www.bukitvista.com/property/peaceful-villa-surrounded-by-rice-fields-in-canggu,Bukit Vista
Luxury & Calm Villa with pool near Nusa Dua Beach,"Jalan Dharmawangsa Kampial, Nusa Dua, Kec. Kuta Sel., Kabupaten Badung, Bali 80361",2,2,View,Starting from USD 2000 per Month,2000.0,1,2000.0,"33,148,000",https://www.bukitvista.com/property/secluded-2br-villa-w-pool-complex-in-nusa-dua,
Group Getaway: Cozy Villa w/Pool Near GWK Park￼,"Ungasan, Kuta Selatan, Badung, Bali, Nusa Tenggara, Indonesia",2,2,"Residential, Villa","Starting from USD 2,200 per month",2200.0,1,2200.0,"36,462,800",https://www.bukitvista.com/property/modern-breezy-homey-2br-villa-with-pool-near-gwk,
Tranquil Kutuh Villa w/ Pool – Ideal for Groups,"Jalan Gubug Sari, Kutuh, Kuta Selatan, Badung, Bali, Nusa Tenggara, 80363, Indonesia",3,3,Villa,Starting from USD 1750 per Month,1750.0,1,1750.0,"29,004,500",https://www.bukitvista.com/property/dainty-villa-w-restful-pool-for-group-at-ungasan,
Spacious New Tropical Villa w/ GWK View,"Kutuh, Kec. Kuta Sel., Kabupaten Badung, Bali 80361",3,3,"View, Villa","Start from $3,200 USD per Month",3200.0,1,3200.0,"53,036,800",https://www.bukitvista.com/property/spacious-new-tropical-villa-w-gwk-view,
Clean Room in Jogja Local Authentic Holiday House,"Ngupasan, Kec. Gondomanan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55122",1,1,Guest House,Mulai dari Rp410.500 USD per Malam,410500.0,1,410500.0,"6,803,627,000",https://www.bukitvista.com/property/clean-room-in-jogja-local-authentic-holiday-house,
3BR Javanese Traditional Relaxing Villa with Pool,"Sinduadi, Kec. Mlati, Kabupaten Sleman, Daerah Istimewa Yogyakarta, 55284",3,2,Villa,Mulai dari Rp1.930.000 Rupiah per Malam,1930000.0,1,,"1,930,000",https://www.bukitvista.com/property/3br-javanese-traditional-relaxing-villa-with-pool,
Bukit Vista | Heritage Joglo Villa w/ Private Pool,"gupasan, Kec. Gondomanan, Kota Yogyakarta, Daerah Istimewa Yogyakarta 55122",4,3,Villa,Mulai dari Rp1.750.000 Rupiah per Malam,1750000.0,1,,"1,750,000",https://www.bukitvista.com/property/bukit-vista-heritage-joglo-villa-w-private-pool-2,
Prestigious Apartment w/ Mt. Merapi View,"Caturtunggal, Kec. Depok, Kabupaten Sleman, Daerah Istimewa Yogyakarta 55281",1,1,Guest House,Mulai dari Rp810.000 Rupiah per Malam,810000.0,1,,"810,000",https://www.bukitvista.com/property/prestigious-apartment-w-mt-merapi-view,
Stylish Rustic Cabin in Penida near Seaside Cafe,"Jl. Ped - Buyuk, Ped, Nusapenida, Kabupaten Klungkung, Bali 80771",1,1,"Guest House, Residential",Start from $24 per night,24.0,1,24.0,"397,776",https://www.bukitvista.com/property/stylish-rustic-cabin-in-penida-near-seaside-cafe,Bukit Vista
Beachfront Bungalow w/ Sunset View,"Jl. Ped - Buyuk, Banjar Bodong, Desa Ped, Kec Nusa Penida, Kabupaten Klungkung",1,1,"Beachfront, Guest House, Residential",Start from USD $41 per night,41.0,1,41.0,"679,534",https://www.bukitvista.com/property/beachfront-bungalow-w-sunset-view,Bukit Vista
Once in a Lifetime Hilltop Bungalow Experience,"Suana, Nusapenida, Kabupaten Klungkung, Bali 80771",1,1,"Guest House, Residential",Start from $19 USD per night,19.0,1,19.0,"314,906",https://www.bukitvista.com/property/once-in-a-lifetime-hilltop-bungalow-experience,Bukit Vista
Bright & Sunny Guesthouse with Green Lawn and Pool,"Jl. Pantai Bingin, Pecatu, Kuta Sel., Kabupaten Badung, Bali 80361, Indonesia",1,1,Guest House,Start from $920 USD per Month,920.0,1,920.0,"15,248,080",https://www.bukitvista.com/property/sunny-cabin-with-green-lawn-for-big-group-7br,Bukit Vista
Summer Vibe Stay in Bingin with Pool + Fast WIFI,"Jl. Bangbang Metuug, Pecatu, Kec. Kuta Sel., Kabupaten Badung, Bali 80361, Indonesia",1,1,Guest House,"Start from $1,090 USD per Month",1090.0,1,1090.0,"18,065,660",https://www.bukitvista.com/property/summer-vibe-stay-in-bingin-with-pool-fast-wifi,Bukit Vista
Laid-back in Uluwatu Bungalow w/ Pool & Fast Wifi,"Jl. Gn. Tengger, Pecatu, Kec. Kuta Sel., Kabupaten Badung, Bali 80361, Indonesia",1,1,Guest House,Start from $790 USD per Month,790.0,1,790.0,"13,093,460",https://www.bukitvista.com/property/laid-back-uluwatu-bungalow-w-pool-fast-wifi,Bukit Vista
Bohemian Beachfront Surf Villa by the Bingin Beach,"Jl. Pantai Bingin, Pecatu, Kec. Kuta Sel., Kabupaten Badung, Bali 80361",4,3,"Beachfront, Residential, Villa","Start from $5,590 USD per Month",5590.0,1,5590.0,"92,648,660",https://www.bukitvista.com/property/bohemian-beachfront-surf-villa-by-bingin-beach,Bukit Vista
Bukit Vista | Heritage Joglo Villa w/ Private Pool,"Kauman, Yogyakarta",4,3,"Residential, Style, Villa",Start from $100 USD,100.0,30,3.33,"55,247",https://www.bukitvista.com/property/bukit-vista-heritage-joglo-villa-w-private-pool,Bukit Vista
Bukit Vista | Stunning 3BR Villa Near Padang Beach,"Pecatu, South Kuta, Badung Regency, Bali 80361, Indonesia",3,3,Villa,"Start from $4,600 USD per Month",4600.0,30,153.33,"2,541,347",https://www.bukitvista.com/property/enjoy-long-stay-in-lovely-villa-by-bukit-vista,Bukit Vista
Quaint & Homey Balinese Villa w/ Private Pool,"Jalan Anggrek, Jimbaran, Kec. Kuta Sel., Kabupaten Badung, Bali 80361",2,2,"Villa, Residential","Start from $1,780 USD per Month",1780.0,30,59.33,"983,391",https://www.bukitvista.com/property/work-from-bali-in-authentic-balinese-villa-pool-by-bukit-vista,Bukit Vista
Tranquil 3BR Villa in Jimbaran with Wi-Fi + Pool,"Ungasan, Kec. Kuta Sel., Kabupaten Badung, Bali 80361, Indonesia",3,3,"Residential, Villa","Start from $2,570 USD per Month",2570.0,30,85.67,"1,419,839",https://www.bukitvista.com/property/bukit-vista-modern-architecture-villa-for-family,Bukit Vista
Peaceful Uluwatu Cabin w/ Unspoiled Beaches Nearby,"Jalan Gunung Tengger, Pecatu, Kabupaten Badung, Bali",1,1,Guest House,Start from $790 USD per Month,790.0,30,26.33,"436,449",https://www.bukitvista.com/property/clean-bright-spacious-room-for-digital-nomad-by-bukit-vista,Bukit Vista
Lovely Private Pool Villa in Strategic Location,"Jl. Pantai Pererenan Gg. Bima, Pererenan, Mengwi, Badung Regency, Bali 80351",3,3,Villa,,0.0,30,,N/A,https://www.bukitvista.com/property/private-pool-villa-with-harmony-sterilized,Bukit Vista
Authentic Balinese Cabin near Beach | sterilized,"South Kuta, Bali, Indonesia",1,1,Villa,Start from $790 USD per Month,790.0,30,26.33,"436,449",https://www.bukitvista.com/property/authentic-balinese-cabin-near-beach-by-bukit-vista,Bukit Vista
Villa Santorini untuk Digital Nomads oleh Bukit Vista,,1,1,N/A,Start from Rp 4.500.000/Month,4500000.0,30,,"150,000",https://www.bukitvista.com/property/villa-santorini-untuk-digital-nomads-oleh-bukit-vista,Bukit Vista
Family Holiday House w/ Private Pool in Jimbaran,"Alang Alang Residence Jimbaran, Jimbaran (Bali), Indonesia, 80361",5,5,Villa,"Start from $3,350 USD per Month",3350.0,30,111.67,"1,850,763",https://www.bukitvista.com/property/spacious-villa-with-swimming-pool-for-big-group,Bukit Vista
4BR Homey Villa in Uluwatu | Kitchen + Wifi + Pool by Bukit Vista,"Jln Labuhan Sait Br. Dinas Kulat, Pecatu Uluwatu Uluwatu, Pecatu, South Kuta, Badung Regency, Bali 80361",4,4,Villa,"Start from $4,930 USD per Month",4930.0,30,164.33,"2,723,661",https://www.bukitvista.com/property/4br-homey-villa-in-uluwatu-kitchen-wifi-pool,Bukit Vista
Picturesque Cottage in the Heart of Ubud’s Nature,"Peliatan, Ubud, Gianyar, Bali. 80571",1,1,"Jungle View, Villa",Start from $890 USD per Month,890.0,30,29.67,"491,695",https://www.bukitvista.com/property/ultimate-serene-cottage-with-ubud-jungle-vibe-by-bukit-vista,Bukit Vista
